Bdl;Tpl/Str;Typ - undertyp;UNE;Spår nr;Ägare;B-klass;Mall;Benämning;Km + m fr;Km + m ti;OFP-Bes.
422;STÖ;Spårväxel - EV-SJ50-11-1:9;;1;Syd;B2;Ja;105;144+ 971;144+ 982;2014-08-29
111;VJ;Spårväxel - EV-BV50-300-1:9;;2;Nord;B2;Ja;3;1535+ 252;1535+ 269;2012-05-30
111;VJ;Spårväxel - EV-UIC60-760-1:15;;2;Nord;B2;Ja;4a;1534+ 729;1534+ 754;2012-05-30
502;LP;Spårväxel - EV-SJ50-11-1:9;;21b;Syd;B1;Ja;1124;230+ 288;230+ 300;2012-03-19
111;KÅ;Spårväxel - EV-UIC60-300-1:9;;2;Nord;B3;Ja;3a;1524+ 614;1524+ 631;2014-06-19
111;KÅ;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B3;Ja;4a;1524+ 324;1524+ 336;2014-06-19
502;LP;Spårväxel - EV-SJ50-11-1:9;;sidosp.;Syd;B1;Ja;1013;229+ 168;229+ 180;2012-03-19
502;LP;Spårväxel - EV-SJ50-11-1:9;;tullspår;Syd;B1;Ja;1005;228+ 792;228+ 804;2012-03-19
502;LP;Spårväxel - EV-SJ43-5,9-1:9;;bv1;Syd;B1;Ja;1004;228+ 619;228+ 631;2012-03-19
502;LP;Spårväxel - EV-SJ43-5,9-1:9;;bv2;Syd;B1;Ja;1003;228+ 563;228+ 580;2012-03-19
503;NR;Spårväxel - EV-SJ43-5,9-1:9;;54;Syd;B1;Ja;1024;180+ 336;180+ 354;2012-03-20
111;AK;Spårväxel - EV-SJ50-11-1:9;;7;Nord;B1;Ja;31;1505+ 516;1505+ 527;
503;NR;Spårväxel - EV-SJ43-5,9-1:9;;54;Syd;B1;Ja;1005;180+   7;180+  24;2012-03-20
111;AK;Spårväxel - EV-SJ50-11-1:9;;9;Nord;B1;Ja;35;1505+ 482;1505+ 494;
111;AK;Spårväxel - EV-SJ50-11-1:9;;7;Nord;B1;Ja;34;1505+ 455;1505+ 466;
503;NR;Spårväxel - EV-SJ43-5,9-1:9;;55;Syd;B1;Ja;1008;179+ 971;179+ 983;2012-03-20
503;NR;Spårväxel - EV-SJ43-5,9-1:9;;57;Syd;B1;Ja;1002a;179+ 850;179+ 867;2012-03-20
111;SOA;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B2;Ja;4a;1495+ 426;1495+ 438;2012-05-30
111;SBK;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B2;Ja;3a;1474+ 229;1474+ 241;2012-07-18
111;SBK;Spårväxel - EV-SJ50-11-1:9;;3;Nord;B1;Ja;5;1474+ 190;1474+ 202;2012-07-19
111;SBK;Spårväxel - 3V-SJ41-5,9-1:9/1:9-HV/VH;;4;Nord;B1;Ja;7/9a;1474+ 113;1474+ 129;2012-07-19
111;TNK;Spårväxel - EV-UIC60-300-1:9;;2;Nord;B1;Ja;3a;1464+ 301;1464+ 318;2012-07-18
111;TNK;Spårväxel - EV-UIC60-300-1:9;;2;Nord;B1;Ja;4a;1464+  12;1464+  29;2012-07-18
505;ÅBY;Spårväxel - EV-SJ41-5,9-1:9;;4;Syd;B1;Ja;107d;174+ 553;174+ 565;2012-03-15
111;BFS;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B2;Ja;3a;1453+ 688;1453+ 700;2012-07-18
522;MOT;Spårväxel - EV-SJ50-11-1:9;;i;Syd;B1;Ja;281;267+ 111;267+ 123;2013-10-29
522;MOT;Spårväxel - EV-SJ50-11-1:9;;i;Syd;B1;Ja;280;266+ 990;266+1001;2013-10-29
522;GO;Spårväxel - EV-SJ50-11-1:9;;3;Syd;B1;Ja;35b;241+ 157;241+ 169;2013-10-29
522;MDM;Spårväxel - EV-SJ50-11-1:9;;3;Syd;B1;Ja;36b;229+ 458;229+ 469;2013-10-29
522;Å;Spårväxel - EV-SJ43-5,9-1:9;;4;Syd;B1;Ja;2;210+ 255;210+ 266;2013-10-29
111;RSN;Spårväxel - EV-60E-300-1:9;;2;Nord;B2;Ja;4;1443+ 626;1443+ 642;2012-07-18
522;Å;Spårväxel - EV-SJ43-11-1:9;;4;Syd;B1;Ja;3;210+ 201;210+ 213;2013-10-29
522;Å;Spårväxel - EV-SJ43-5,9-1:9;;5;Syd;B1;Ja;6;209+ 972;209+ 984;2013-10-29
111;RUT;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B2;Ja;6;1434+ 257;1434+ 268;2012-05-29
628;Ä;Spårväxel - EV-SJ50-11-1:9;u;3;Syd;B4;Ja;32a;216+ 991;217+   3;2012-08-01
628;Ä;Spårväxel - EV-SJ50-11-1:9;u;3;Syd;B4;Ja;31a;216+ 280;216+ 292;2013-07-27
111;KV;Spårväxel - EV-UIC60-760-1:15;;2;Nord;B2;Ja;3;1423+ 946;1423+ 971;2012-05-29
111;KV;Spårväxel - EV-UIC60-300-1:9;;3;Nord;B2;Ja;5a;1423+ 790;1423+ 807;2012-05-29
111;KV;Spårväxel - EV-UIC60-300-1:9;;3;Nord;B2;Ja;6a;1423+ 426;1423+ 442;2012-05-29
111;KV;Spårväxel - EV-UIC60-760-1:15;;2;Nord;B2;Ja;4;1422+ 985;1423+  10;2012-05-29
628;Ä;Spårväxel - EV-SJ50-11-1:9;;1;Syd;B3;Ja;33b;216+ 474;216+ 485;2012-08-01
628;LAOV;Spårväxel - EV-BV50-225/190-1:9;;4;Syd;B3;Ja;135;174+ 292;174+ 303;2012-07-30
628;LAOV;Spårväxel - EV-BV50-225/190-1:9;;1;Syd;B3;Ja;137;174+ 292;174+ 303;2012-07-30
628;LAOV;Spårväxel - EV-BV50-225/190-1:9;;4;Syd;B3;Ja;108;173+ 509;173+ 521;2012-07-30
112;KMB;Spårväxel - EV-SJ50-5,9-1:9;;3;Nord;B1;Ja;6;1414+ 609;1414+ 620;2013-05-29
628;LAOV;Spårväxel - EV-BV50-225/190-1:9;;1;Syd;B3;Ja;106;173+ 509;173+ 521;2012-07-30
112;KMB;Spårväxel - DKV-SJ50-7,641/9,375-1:9;;lokst2;Nord;B1;Ja;408/403;1414+ 592;1414+ 609;2013-05-29
112;KMB;Spårväxel - EV-SJ50-5,9-1:9;;1;Nord;B1;Ja;5;1414+ 576;1414+ 587;2013-05-29
733;LRD;Spårväxel - EV-SJ50-12-1:13;;3;Syd;B3;Ja;1a;136+ 529;136+ 552;2012-10-10
814;AV;Spårväxel - EV-UIC60-760-1:15;n;3b;Syd;B3;Ja;472;437+ 215;437+ 240;2012-09-19
112;KMB;Spårväxel - EV-SJ50-5,9-1:9;;5;Nord;B1;Ja;4;1414+ 531;1414+ 549;2013-05-29
112;KMB;Spårväxel - EV-SJ50-5,9-1:9;;3;Nord;B1;Ja;3;1414+ 498;1414+ 515;2013-05-29
814;AV;Spårväxel - EV-UIC60-760-1:15;u;2;Syd;B3;Ja;471;437+ 148;437+ 176;
814;AV;Spårväxel - DKV-S54-190-1:9;u;2;Syd;B3;Ja;475/474;437+  37;437+  55;2012-09-19
814;AV;Spårväxel - DKV-S54-190-1:9;n;3b;Syd;B3;Ja;473/460;436+ 996;437+  14;2012-10-31
814;AV;Spårväxel - EV-BV50-225/190-1:9;u;2;Syd;B3;Ja;462;436+ 988;436+1000;2012-09-19
112;KMB;Spårväxel - EV-SJ50-5,9-1:9;;1;Nord;B1;Ja;522;1414+ 387;1414+ 404;2013-05-29
814;AV;Spårväxel - EV-SJ50-11-1:9;e;1b;Syd;B3;Ja;461;436+ 934;436+ 945;2012-09-19
112;KMB;Spårväxel - EV-BV50-225/190-1:9;;15;Nord;B1;Ja;411;1414+ 351;1414+ 363;2013-05-29
112;KMB;Spårväxel - EV-SJ50-11-1:9;;31;Nord;B1;Ja;520;1414+ 346;1414+ 358;2013-05-29
112;KMB;Spårväxel - EV-SJ50-5,9-1:9;;31;Nord;B1;Ja;55a;1414+ 266;1414+ 278;2013-05-29
814;AV;Spårväxel - EV-UIC60-300-1:9;n;3b;Syd;B3;Ja;444;436+ 903;436+ 920;2012-09-19
814;ÄH;Spårväxel - EV-BV50-225/190-1:9;e;20;Syd;B3;Ja;124;0+ 522;0+ 534;2011-02-28
112;KMB;Spårväxel - EV-BV50-225/190-1:9;;15;Nord;B1;Ja;428;1413+ 921;1413+ 933;2013-05-29
822;EM;Spårväxel - EV-BV50-600-1:13;e;2;Syd;B3;Ja;131;295+ 644;295+ 665;2009-05-20
822;EM;Spårväxel - EV-BV50-600-1:13;e;2;Syd;B3;Ja;134;295+ 616;295+ 637;2009-05-20
112;KMB;Spårväxel - EV-UIC60-300-1:9;;14;Nord;B2;Ja;426;1413+ 826;1413+ 843;2013-05-29
822;EM;Spårväxel - EV-BV50-600-1:15;e;2;Syd;B3;Ja;139;295+ 529;295+ 548;
822;EM;Spårväxel - EV-BV50-600-1:15;e;2;Syd;B3;Ja;136;295+ 491;295+ 509;2009-05-20
822;EM;Spårväxel - EV-BV50-600-1:15;e;2;Syd;B3;Ja;105;294+ 975;295+   2;2009-05-20
822;EM;Spårväxel - EV-UIC60-760-1:15;e;2;Syd;B3;Ja;103;294+ 893;294+ 919;2009-05-20
822;EM;Spårväxel - EV-UIC60-760-1:15;e;2;Syd;B3;Ja;101;294+ 508;294+ 534;2009-05-20
112;KMB;Spårväxel - EV-UIC60-300-1:9;;18;Nord;B1;Ja;454;1413+ 313;1413+ 330;
822;HVP;Spårväxel - EV-SJ50-11-1:9;e;2;Syd;B3;Ja;35a;263+  50;263+  61;2011-11-11
822;EM;Spårväxel - EV-UIC60-1200-1:18,5;e;1;Syd;B3;Ja;132;0+ 438;0+ 471;2009-05-20
112;PEA;Spårväxel - EV-UIC60-760-1:15;;2;Nord;B2;Ja;710;0+   8;0+  34;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;upst.sp;Nord;B2;Ja;773;1408+ 111;1408+ 128;
822;EM;Spårväxel - EV-BV50-600-1:15;e;1;Syd;B3;Ja;140;0+ 231;0+ 249;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;utdr.n;Nord;B2;Ja;752;1407+ 898;1407+ 909;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;utdr.n;Nord;B2;Ja;758;1407+ 863;1407+ 875;
113;KIA;Spårväxel - EV-UIC60-300-1:9;;2;Nord;B2;Ja;753;1407+ 834;1407+ 850;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;utdr.n;Nord;B2;Ja;750;1407+ 808;1407+ 825;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;3;Nord;B2;Ja;755;1407+ 757;1407+ 774;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;4;Nord;B2;Ja;761;1407+ 693;1407+ 705;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;4;Nord;B2;Ja;763;1407+ 509;1407+ 521;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;5;Nord;B2;Ja;765;1407+ 456;1407+ 468;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;5;Nord;B2;Ja;759;1407+  45;1407+  57;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;4;Nord;B2;Ja;760;1406+ 941;1406+ 959;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;3;Nord;B2;Ja;762;1406+ 900;1406+ 918;
113;KIA;Spårväxel - EV-BV50-225/190-1:9;;Lastsp1;Nord;B2;Ja;769;1406+ 853;1406+ 870;
113;KIA;Spårväxel - EV-UIC60-300-1:9;;2;Nord;B2;Ja;764;1406+ 823;1406+ 840;
822;EM;Spårväxel - EV-BV50-600-1:15;e;1;Syd;B3;Ja;135;0+  21;0+  40;2009-05-20
823;SPJ;Spårväxel - EV-BV50-225/190-1:9;e;2;Syd;B4;Ja;22;333+ 988;333+ 999;2013-10-22
823;SPJ;Spårväxel - EV-SJ50-11-1:9;e;2;Syd;B4;Ja;21;333+ 455;333+ 473;2013-10-22
823;HMÖ;Spårväxel - EV-UIC60-760-1:15;e;2;Syd;B4;Ja;22;320+ 618;320+ 643;2012-10-24
113;KX;Spårväxel - EV-SJ50-11-1:9;;1;Nord;B1;Ja;2;1399+ 106;1399+ 118;2012-05-12
113;KX;Spårväxel - EV-SJ50-11-1:9;;1;Nord;B1;Ja;3;1398+ 927;1398+ 939;2012-05-12
823;HMÖ;Spårväxel - EV-UIC60-1200-1:18,5;e;2;Syd;B4;Ja;21;320+  68;320+ 101;2012-10-24
823;VFA;Spårväxel - EV-BV50-600-1:15;e;2;Syd;B4;Ja;22;306+ 341;306+ 359;2013-10-22
113;GY;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;2;1391+ 589;1391+ 600;2012-05-09
113;GY;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;3;1391+ 401;1391+ 412;2012-05-09
823;VFA;Spårväxel - EV-BV50-600-1:15;e;2;Syd;B4;Ja;21;305+ 786;305+ 804;2013-10-22
823;CK;Spårväxel - EV-BV50-225/190-1:9;e;1;Syd;B3;Ja;417a;351+ 646;351+ 657;2012-10-24
113;LAB;Spårväxel - EV-SJ50-12-1:15;;2;Nord;B1;Ja;2;1380+ 862;1380+ 881;2012-05-09
113;LAB;Spårväxel - EV-SJ50-12-1:15;;2;Nord;B1;Ja;3;1380+ 161;1380+ 180;2012-05-09
823;CK;Spårväxel - EV-BV50-225/190-1:9;e;1;Syd;B3;Ja;429;351+ 474;351+ 486;2012-10-24
823;CK;Spårväxel - EV-BV50-225/190-1:9;e;41;Syd;B3;Ja;438;351+ 400;351+ 417;2012-10-24
113;FJÅ;Spårväxel - EV-SJ50-11-1:9;;sidosp.;Nord;B1;Ja;2;1370+ 851;1370+ 869;2012-05-26
113;FJÅ;Spårväxel - EV-SJ50-11-1:9;;1;Nord;B1;Ja;3;1370+ 684;1370+ 695;2012-05-26
823;CK;Spårväxel - EV-SJ50-12-1:12;e;54;Syd;B3;Ja;451;350+ 769;350+ 787;2012-10-24
823;GUA;Spårväxel - EV-BV50-600-1:15;e1;54;Syd;B3;Ja;511;347+ 472;347+ 490;
113;HAR;Spårväxel - EV-SJ50-11-1:9;;1;Nord;B2;Ja;3;1357+ 735;1357+ 746;2012-05-10
113;HAR;Spårväxel - EV-SJ50-11-1:9;;1;Nord;B2;Ja;4;1357+ 546;1357+ 558;2012-05-10
823;GUA;Spårväxel - EV-SJ50-12-1:15;e;53;Syd;B3;Ja;522;125+ 432;125+ 458;
111;BLN;Spårväxel - EV-BV50-300-1:9;;2;Nord;B3;Ja;4a;1515+  44;1515+  61;2012-07-19
113;HÅK;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;2;1345+ 841;1345+ 853;2012-05-09
113;HÅK;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;3;1345+ 646;1345+ 658;2012-05-09
111;AK;Spårväxel - EV-UIC60-300-1:9;;4;Nord;B4;Ja;25b;1505+ 555;1505+ 572;2012-07-19
111;KPE;Spårväxel - EV-UIC60-300-1:9;;3;Nord;B3;Ja;5a;1483+ 368;1483+ 385;2012-07-18
113;LIN;Spårväxel - EV-SJ50-12-1:13;;2;Nord;B1;Ja;2;1336+ 500;1336+ 524;2012-05-10
113;LIN;Spårväxel - EV-SJ50-5,9-1:9;;1;Nord;B1;Ja;3;1336+ 132;1336+ 144;2012-05-10
113;LIN;Spårväxel - EV-SJ50-5,9-1:9;;1;Nord;B1;Ja;4;1335+ 939;1335+ 951;2012-05-10
113;LIN;Spårväxel - EV-SJ50-12-1:13;;2;Nord;B1;Ja;5;1335+ 840;1335+ 861;2012-05-10
111;KPE;Spårväxel - EV-UIC60-300-1:9;;3;Nord;B3;Ja;6a;1483+ 178;1483+ 195;
111;SBK;Spårväxel - EV-UIC60-760-1:15;e;1;Nord;B4;Ja;1;1474+ 551;1474+ 576;2013-05-28
113;STK;Spårväxel - EV-SJ50-5,9-1:9;;1;Nord;B1;Ja;2;1323+ 372;1323+ 383;2012-05-10
113;STK;Spårväxel - EV-SJ50-5,9-1:9;;1;Nord;B1;Ja;3;1323+ 191;1323+ 202;2012-05-10
111;RSN;Spårväxel - EV-60E-760-1:15;;2;Nord;B3;Ja;3;1444+ 541;1444+ 566;2003-05-09
111;RSN;Spårväxel - EV-BV50-225/190-1:9;;3;Nord;B3;Ja;5a;1444+ 403;1444+ 414;
111;RSN;Spårväxel - EV-SJ50-11-1:9;;3;Nord;B3;Ja;6a;1444+ 181;1444+ 193;
112;PEA;Spårväxel - EVR-UIC60-760-1:15;e;1;Nord;B4;Ja;701;1417+ 593;1417+ 622;2013-05-28
114;GV;Spårväxel - EV-SJ41-5,9-1:9;;208;Nord;B1;Ja;203;1314+ 104;1314+ 116;2012-05-07
114;GV;Spårväxel - EV-SJ43-5,9-1:9;;208;Nord;B1;Ja;201;1313+ 906;1313+ 917;2012-05-07
114;GV;Spårväxel - EV-SJ43-5,9-1:9;;210;Nord;B1;Ja;405;1313+ 887;1313+ 904;2012-05-07
114;GV;Spårväxel - EV-SJ41-5,9-1:9;;o2;Nord;B1;Ja;104;1313+ 877;1313+ 888;2012-05-07
114;GV;Spårväxel - EV-SJ41-5,9-1:9;;o4;Nord;B1;Ja;103;1313+ 864;1313+ 875;2012-05-07
114;GV;Spårväxel - EV-SJ41-5,9-1:9;;o1;Nord;B1;Ja;102;1313+ 831;1313+ 842;2012-05-07
114;GV;Spårväxel - EV-SJ41-5,9-1:9;;o1;Nord;B1;Ja;101;1313+ 775;1313+ 793;2012-05-07
112;PEA;Spårväxel - EVR-UIC60-760-1:15;e;1;Nord;B4;Ja;704;1416+ 441;1416+ 466;
114;GV;Spårväxel - EV-SJ41-5,9-1:9;e3;4;Nord;B1;Ja;407;1313+ 296;1313+ 308;2012-05-08
114;GV;Spårväxel - 3V-SJ43-5,9-1:10/1:9-HH/VV;;206;Nord;B1;Ja;68/69;1313+ 283;1313+ 298;2012-05-07
112;PEA;Spårväxel - EVR-UIC60-760-1:15;e2;22;Nord;B4;Ja;706;1415+ 629;1415+ 654;2012-07-23
114;GV;Spårväxel - EV-SJ41-5,9-1:9;;205;Nord;B1;Ja;67;1313+ 181;1313+ 199;
112;KMB;Spårväxel - EV-BV50-225/190-1:9 kryss;e2;11;Nord;B4;Ja;401;1414+ 596;1414+ 608;2013-05-29
112;KMB;Spårväxel - EV-BV50-225/190-1:9;;15;Nord;B3;Ja;433;1414+ 384;1414+ 396;
112;KMB;Spårväxel - EV-UIC60-300-1:9;;15;Nord;B3;Ja;436;1413+ 881;1413+ 898;
114;GV;Spårväxel - EV-SJ50-8,4-1:8,1;;212;Nord;B1;Ja;81;1313+  85;1313+  97;2012-05-07
114;GV;Spårväxel - EV-SJ41-5,9-1:9;;201;Nord;B1;Ja;65;1313+  81;1313+  92;2012-05-07
112;PEA;Spårväxel - EV-UIC60-760-1:15;e1;21;Nord;B4;Ja;711;0+  93;0+ 118;
114;GV;Spårväxel - EV-SJ50-8,4-1:9;;212;Nord;B1;Ja;80;1313+  68;1313+  85;2012-05-07
112;PEA;Spårväxel - EVR-UIC60-760-1:15;;710-705;Nord;B4;Ja;705;0+  73;0+ 101;
114;GV;Spårväxel - EV-SJ50-5,9-1:9;;5;Nord;B1;Ja;412;1313+  32;1313+  44;2003-06-04
114;GV;Spårväxel - EV-SJ41-4,5-1:9;;203;Nord;B1;Ja;63;1313+   8;1313+  19;
114;GV;Spårväxel - DKV-SJ50-7,641/9,375-1:9;;6;Nord;B1;Ja;421/414;1312+ 988;1313+   6;2003-06-04
114;GV;Spårväxel - EV-SJ50-5,9-1:9;;5;Nord;B1;Ja;423;1312+ 974;1312+ 986;2003-06-04
114;GV;Spårväxel - EV-SJ50-11-1:9;;416-423;Nord;B1;Ja;416;1312+ 930;1312+ 948;2010-05-03
114;GV;Spårväxel - EV-SJ50-5,9-1:9;;201;Nord;B1;Ja;425;1312+ 903;1312+ 915;2012-05-07
113;KIA;Spårväxel - EVR-UIC60-760-1:15;e;1;Nord;B4;Ja;751;1407+ 964;1407+ 990;
114;GV;Spårväxel - EV-SJ50-11-1:9;;1;Nord;B1;Ja;418;1312+ 851;1312+ 863;2012-05-08
114;GV;Spårväxel - EV-SJ41-5,9-1:9;;1;Nord;B1;Ja;429;1312+ 563;1312+ 574;2012-05-08
114;GV;Spårväxel - EV-SJ50-11-1:9;;6;Nord;B1;Ja;422;1312+ 406;1312+ 423;2012-05-08
113;KIA;Spårväxel - EVR-UIC60-760-1:15;e;1;Nord;B4;Ja;766;1406+ 682;1406+ 708;
113;HÅK;Spårväxel - EVR-UIC60-760-1:15;e;1;Nord;B3;Ja;1;1346+ 167;1346+ 192;2012-05-09
116;PII;Spårväxel - EVR-UIC60-760-1:15;e;1;Nord;B3;Ja;1a;36+ 310;36+ 339;
118;RPS;Spårväxel - EVR-60E-760-1:15;e;3;Nord;B4;Ja;1;1293+  62;1293+  87;
114;GV;Spårväxel - EV-SJ41-5,9-1:9;;202-203;Nord;B1;Ja;202;0+   0;0+   0;2012-05-07
118;RPS;Spårväxel - EV-UIC60-300-1:9;;2;Nord;B4;Ja;2;1292+ 959;1292+ 976;2013-06-05
118;RPS;Spårväxel - EVR-60E-760-1:15;e;3;Nord;B4;Ja;6;1291+ 984;1292+   9;
120;BDN;Spårväxel - EV-SJ50-11-1:9;e1;9;Nord;B2;Ja;665;1145+ 509;1145+ 520;2011-08-04
118;AIK;Spårväxel - EV-SJ50-11-1:9;;1;Nord;B1;Ja;601;2+ 762;2+ 780;2012-04-27
118;AIK;Spårväxel - EV-SJ50-11-1:9;e1;2;Nord;B1;Ja;604;2+ 194;2+ 206;2012-04-27
120;BDN;Spårväxel - EV-SJ50-11-1:9;e2;20;Nord;B2;Ja;651;1145+ 215;1145+ 233;2011-08-04
120;BDN;Spårväxel - EV-UIC60-760-1:14;e2;20;Nord;B2;Ja;622;1144+ 812;1144+ 839;2011-08-04
118;HRT;Spårväxel - EV-UIC60-300-1:9;;2;Nord;B1;Ja;2;1299+ 955;1299+ 971;2012-05-01
118;HRT;Spårväxel - EV-UIC60-300-1:9;;2;Nord;B1;Ja;5;1299+ 327;1299+ 343;2012-05-01
120;BDN;Spårväxel - DKV-SJ50-7,641/9,375-1:9;e;2;Nord;B2;Ja;585/584;1144+ 764;1144+ 782;2011-08-04
120;BDN;Spårväxel - EV-SJ50-11-1:9;e;12;Nord;B2;Ja;620;1144+ 112;1144+ 124;2011-08-04
120;BDN;Spårväxel - EV-UIC60-300-1:9;e;12;Nord;B2;Ja;626;1144+  49;1144+  66;2011-08-04
118;RPS;Spårväxel - EV-UIC60-300-1:9;;1;Nord;B1;Ja;4a;1292+ 273;1292+ 290;
129;DGM;Spårväxel - EV-UIC60-300-1:9;e;2;Nord;B4;Ja;1;847+ 712;847+ 728;2013-07-12
129;DGM;Spårväxel - EV-UIC60-300-1:9;e;2;Nord;B4;Ja;2;847+ 673;847+ 689;2013-07-12
129;DGM;Spårväxel - EV-UIC60-300-1:9;e;2;Nord;B4;Ja;5;846+ 844;846+ 860;2013-07-12
118;NRT;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;2;1281+ 917;1281+ 929;2012-05-03
118;NRT;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;5;1281+ 310;1281+ 321;2012-05-03
129;DGM;Spårväxel - EV-UIC60-300-1:9;e;2;Nord;B4;Ja;6;846+ 805;846+ 822;2013-07-12
129;HSÖ;Spårväxel - EV-UIC60-1200-1:18,5;e;2;Nord;B4;Ja;1;834+ 919;834+ 951;2013-07-12
129;HSÖ;Spårväxel - EV-UIC60-300-1:9;u;2;Nord;B4;Ja;2;834+ 857;834+ 873;2013-07-12
129;HSÖ;Spårväxel - EV-UIC60-300-1:9;u;2;Nord;B4;Ja;8;833+ 445;833+ 462;2013-07-12
118;NTV;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;2;1265+ 407;1265+ 418;2012-05-03
118;NTV;Spårväxel - EV-SJ50-11-1:9;;3;Nord;B1;Ja;4a;1265+ 213;1265+ 225;2012-05-03
118;NTV;Spårväxel - EV-SJ50-11-1:9;;3;Nord;B1;Ja;5b;1264+ 927;1264+ 944;2012-05-03
118;NTV;Spårväxel - EV-BV50-225/190-1:9;;3;Nord;B1;Ja;6b;1264+ 860;1264+ 872;2012-05-03
118;NTV;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;7;1264+ 797;1264+ 809;2012-05-03
129;HBÄ;Spårväxel - EV-UIC60-1200-1:18,5;e;1;Nord;B5;Ja;1;828+ 685;828+ 717;2013-07-12
129;HBÄ;Spårväxel - EV-UIC60-300-1:9;e;1;Nord;B5;Ja;2;828+ 353;828+ 370;2013-07-12
129;HBÄ;Spårväxel - EV-UIC60-300-1:9;e;1;Nord;B5;Ja;6;827+ 489;827+ 506;2013-07-12
129;ÖÄ;Spårväxel - EV-UIC60-1200-1:18,5;e;1;Nord;B4;Ja;1a;822+ 164;822+ 196;2013-07-12
118;PC;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B2;Ja;3a;1243+  81;1243+  92;2012-05-04
129;ÖÄ;Spårväxel - EV-UIC60-300-1:9;;stick;Nord;B4;Ja;1b;821+ 987;821+1004;2013-07-12
129;NYÅ;Spårväxel - EV-UIC60-300-1:9;n;2;Nord;B4;Ja;1;818+ 498;818+ 515;2013-07-12
118;MK;Spårväxel - EV-BV50-225/190-1:9;;2;Nord;B3;Ja;3;1231+ 528;1231+ 540;2014-05-28
129;OXM;Spårväxel - EV-UIC60-300-1:9;n;2;Nord;B4;Ja;1b;814+  27;814+  43;2013-07-11
118;MK;Spårväxel - EV-SJ41-5,9-1:9;;p4;Nord;B1;Ja;8;1231+  77;1231+  88;2012-05-04
118;MK;Spårväxel - EV-SJ50-11-1:9;;3;Nord;B1;Ja;5b;1231+   4;1231+  15;2012-05-04
118;MK;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B3;Ja;6;1230+ 919;1230+ 931;2014-05-28
129;OXM;Spårväxel - EV-UIC60-1200-1:18,5;n;2;Nord;B4;Ja;1a;813+ 773;813+ 805;2013-07-11
129;BRS;Spårväxel - EV-UIC60-760-1:14;e;3;Nord;B4;Ja;1;811+ 283;811+ 310;2013-07-11
118;TET;Spårväxel - EV-UIC60-760-1:15;;1;Nord;B1;Ja;2;1223+  84;1223+ 113;2012-06-05
118;TET;Spårväxel - EV-UIC60-760-1:15;;1;Nord;B1;Ja;5;1222+ 195;1222+ 224;2012-06-05
129;BRS;Spårväxel - EV-UIC60-300-1:9;e;3;Nord;B4;Ja;6;810+ 500;810+ 517;2013-07-11
129;NRS;Spårväxel - EV-UIC60-300-1:9;e;3;Nord;B4;Ja;1;800+ 691;800+ 708;2013-07-11
118;NB;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;2;1215+ 753;1215+ 764;2012-06-06
118;NB;Spårväxel - EV-SJ50-11-1:9;;2;Nord;B1;Ja;5;1215+ 126;1215+ 137;2012-06-06
129;NRS;Spårväxel - EV-UIC60-760-1:14;e;3;Nord;B4;Ja;6;799+ 786;799+ 813;2013-07-11
129;THÖ;Spårväxel - EV-UIC60-300-1:9;e;2;Nord;B4;Ja;1;787+ 410;787+ 427;2013-07-11
118;LKÄ;Spårväxel - EV-60E-300-1:9;;3;Nord;B1;Ja;2;1204+ 161;1204+ 178;2012-05-05
118;LKÄ;Spårväxel - EV-SJ50-5,9-1:9;;3;Nord;B1;Ja;10;1203+ 648;1203+ 660;2012-05-05
118;LKÄ;Spårväxel - EV-60E-300-1:9;;2;Nord;B1;Ja;11;1203+ 267;1203+ 283;2012-05-05
129;THÖ;Spårväxel - EV-UIC60-300-1:9;e;2;Nord;B4;Ja;2;787+ 388;787+ 405;2013-07-11
